Ponto,actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,rttNovo,distNovo,errNovo,errOwn
1,2.520495983,39,5.845952931,3.325456948,25,3.747405725,1.226909742,3.071428571,39.25,8,-74.25,3.769999981,27,4.047198183,1.5267022,1.249503998
1,2.52667766,88,13.19086815,10.66419049,67,10.04304734,7.516369683,1.982142857,88.375,8,-75,10.14000034,82,12.29149078,9.764813118,7.61332268
1,9.895958771,119,17.83765125,7.94169248,94,14.09024553,4.194286755,9.9,119.5,6,-86.83333333,14.17000008,119,17.83765125,7.94169248,4.274041309
1,7.919318152,116,17.38796256,9.468644412,91,13.64055684,5.721238687,3.428571429,117,8,-72.25,13.77999973,109,16.33868896,8.419370809,5.860681578
1,2.520495983,35,5.246368015,2.725872032,21,3.147820809,0.627324826,8.839285714,35.375,8,-74,3.25,27,4.047198183,1.5267022,0.729504017
1,2.52667766,88,13.19086815,10.66419049,67,10.04304734,7.516369683,1.071428571,88.25,8,-74.875,10.14000034,82,12.29149078,9.764813118,7.61332268
1,9.895958771,139,20.83557583,10.93961706,120,17.98754748,8.091588709,30.66666667,140,7,-86.14285714,18.10000038,119,17.83765125,7.94169248,8.204041609
1,7.919318152,117,17.53785879,9.618540641,92,13.79045307,5.871134916,1.142857143,118,8,-72.125,13.90999985,109,16.33868896,8.419370809,5.990681698
1,2.520495983,39,5.845952931,3.325456948,25,3.747405725,1.226909742,2.410714286,39.875,8,-74,3.769999981,27,4.047198183,1.5267022,1.249503998
1,2.52667766,89,13.34076438,10.81408672,68,10.19294357,7.666265912,4.285714286,89.5,8,-75,10.27000046,82,12.29149078,9.764813118,7.7433228
1,9.895958771,151,22.63433058,12.73837181,128,19.18671731,9.290758541,87.46666667,151.6666667,6,-85,19.29999924,119,17.83765125,7.94169248,9.404040469
1,7.919318152,118,17.68775502,9.76843687,93,13.9403493,6.021031145,3.928571429,118.75,8,-72.25,14.03999996,109,16.33868896,8.419370809,6.120681808
1,2.520495983,39,5.845952931,3.325456948,25,3.747405725,1.226909742,1.410714286,39.625,8,-74,3.769999981,27,4.047198183,1.5267022,1.249503998
1,2.52667766,88,13.19086815,10.66419049,67,10.04304734,7.516369683,2,88.5,8,-75,10.14000034,82,12.29149078,9.764813118,7.61332268
1,9.895958771,158,23.68360418,13.78764541,133,19.93619846,10.04023969,64.8,158,6,-85.16666667,20,119,17.83765125,7.94169248,10.10404123
